전기차 충전소 설치현황 ( 20230525 현재 ),,,,,
"시도 : 부산광역시, 시군구 : ALL",,,,,
시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
부산광역시,고촌LH 아파트,부산광역시 기장군 철마면 고촌리 684,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,국립수산과학관,부산광역시 기장군 기장읍 시랑리 408-1,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,군민체육공원,부산광역시 기장군 일광면 원리 39,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,기장우신네오빌,부산광역시 기장군 기장읍 청강로 76,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,기장지사,부산광역시 기장군 기장읍 청강리 154-6,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,롯데몰 동부산점,부산광역시 기장군 기장읍 당사리 524,4 ,0 ,"SM3 Z.E,테슬라"
부산광역시,서부주공 아파트,부산광역시 기장군 기장읍 서부리 102,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,신천리 공영주차장,부산광역시 기장군 기장읍 신천리 1,2 ,0 ,"SM3 Z.E,테슬라"
부산광역시,안평역,부산광역시 기장군 철마면 안평리 582-21,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,남구국민체육센터,부산광역시 남구 용호동 895-18,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,남구청 서편 주차장,부산광역시 남구 대연동 1268-1,2 ,0 ,"SM3 Z.E,테슬라"
부산광역시,대연경동메르빌,부산광역시 남구 대연동 252-1,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,문현한양아파트,부산광역시 남구 문현동 41,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,부산국제금융센터,부산광역시 남구 문현동 1229-1,6 ,0 ,"SM3 Z.E,테슬라"
부산광역시,부산문화회관,부산광역시 남구 대연동 848-4,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,엘지메트로시티 아파트(101동),부산광역시 남구 용호동 176-30,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,엘지메트로시티 아파트(123동),부산광역시 남구 용호동 176-30,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,엘지메트로시티 아파트(138동),부산광역시 남구 용호동 176-30,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,엘지메트로시티 아파트(201동),부산광역시 남구 용호동 176-30,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,이기대 제1공영주차장,부산광역시 남구 용호동 14-1,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,(전주거치형)범5-2구역,부산광역시 동구 좌천동 1132-3,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,(전주거치형)스카이웨이,부산광역시 동구 초량동 산 53-1,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,(전주거치형)화신칼라,부산광역시 동구 범일동 830-72,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,가구거리 공영주차장,부산광역시 동구 범일동 183,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,남해지방해양경찰청,부산광역시 동구 좌천동 68-889,2 ,0 ,"SM3 Z.E,테슬라"
부산광역시,동구체육공원 공영주차장,부산광역시 동구 수정동 712-148,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,부산과학체험관,부산광역시 동구 초량동 1167,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,부산항국제여객터미널,부산광역시 동구 초량동 45-39,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,수정1동 공영주차장,부산광역시 동구 수정동 1043-60,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,수정공원상로 제1노상주차장,부산광역시 동구 수정동 1178-47,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,수정산 공영주차장,부산광역시 동구 수정동 600-3,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,차이나타운 공영주차장,부산광역시 동구 초량동 544-4,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,동래센트럴파크하이츠2단지,부산광역시 동래구 명륜동 756-1,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,동래지사,부산광역시 동래구 안락동 451-10,0 ,5 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,명륜쌍용예가,부산광역시 동래구 명륜동 753,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,명륜역,부산광역시 동래구 명륜동 741,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,명장삼성타운,부산광역시 동래구 명장동 63-9,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,사직 삼환나우빌,부산광역시 동래구 사직동 1019,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,사직쌍용예가 아파트,부산광역시 동래구 사직동 1017,2 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,홈플러스 동래점,부산광역시 동래구 온천동 153-8,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,(전주거치형)경남공고옆,부산광역시 부산진구 전포동 689-28,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,(전주거치형)범천동신암로1,부산광역시 부산진구 범천동 1090-12,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,(전주거치형)범천동신암로2,부산광역시 부산진구 범천동 1090-12,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,(전주거치형)서면중앙시장,부산광역시 부산진구 전포동 608-1,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,(전주거치형)시민공원옆주거지,부산광역시 부산진구 범전동 68-21,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,(전주거치형)전포동주거지,부산광역시 부산진구 전포동 190,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,가아KT-e편한세상,부산광역시 부산진구 가야동 698,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,대원칸타빌멤버스,부산광역시 부산진구 양정동 525,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,부산교통공사 본사,부산광역시 부산진구 범천동 861-1,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
